NAME=j0907-5157; DEC=-51.966; RA=9.119  ; PW50=0.012100 ; DM=103.72
NAME=b2154+40; DEC=40.288 ; RA=21.966 ; PW50=0.038600 ; DM=71.12
NAME=j2157+4017; DEC=40.288 ; RA=21.966 ; PW50=0.038600 ; DM=71.12
NAME=b0450-18; DEC=-18.000; RA=4.881  ; PW50=0.026800 ; DM=39.90
NAME=j0452-1759; DEC=-18.000; RA=4.881  ; PW50=0.026800 ; DM=39.90
NAME=b1426-66; DEC=-66.390; RA=14.508 ; PW50=0.003900 ; DM=65.30
NAME=j1430-6623; DEC=-66.390; RA=14.508 ; PW50=0.003900 ; DM=65.30
NAME=b1845-01; DEC=-1.390 ; RA=18.813 ; PW50=0.016100 ; DM=159.53
NAME=j1848-0123; DEC=-1.390 ; RA=18.813 ; PW50=0.016100 ; DM=159.53
NAME=b0301+19; DEC=19.542 ; RA=3.068  ; PW50=0.042000 ; DM=15.66
NAME=j0304+1932; DEC=19.542 ; RA=3.068  ; PW50=0.042000 ; DM=15.66
NAME=b1800-21; DEC=-21.627; RA=18.051 ; PW50=0.013100 ; DM=233.99
NAME=j1803-2137; DEC=-21.627; RA=18.051 ; PW50=0.013100 ; DM=233.99
NAME=b1857-26; DEC=-26.000; RA=19.000 ; PW50=0.052000 ; DM=37.99
NAME=j1900-2600; DEC=-26.000; RA=19.000 ; PW50=0.052000 ; DM=37.99
NAME=b2310+42; DEC=42.898 ; RA=23.220 ; PW50=0.008800 ; DM=17.28
NAME=j2313+4253; DEC=42.898 ; RA=23.220 ; PW50=0.008800 ; DM=17.28
NAME=b1706-16; DEC=-16.678; RA=17.152 ; PW50=0.007600 ; DM=24.89
NAME=j1709-1640; DEC=-16.678; RA=17.152 ; PW50=0.007600 ; DM=24.89
NAME=b0531+21; DEC=22.000 ; RA=5.576  ; PW50=0.003000 ; DM=56.77
NAME=j0534+2200; DEC=22.000 ; RA=5.576  ; PW50=0.003000 ; DM=56.77
NAME=b1154-62; DEC=-62.407; RA=11.966 ; PW50=0.011300 ; DM=325.20
NAME=j1157-6224; DEC=-62.407; RA=11.966 ; PW50=0.011300 ; DM=325.20
NAME=b1322-66; DEC=-67.000; RA=13.441 ; PW50=0.041900 ; DM=209.60
NAME=j1326-6700; DEC=-67.000; RA=13.441 ; PW50=0.041900 ; DM=209.60
NAME=b1937+21; DEC=21.576 ; RA=19.661 ; PW50=0.000038 ; DM=71.02
NAME=j1939+2134; DEC=21.576 ; RA=19.661 ; PW50=0.000038 ; DM=71.02
NAME=b0450+55; DEC=55.729 ; RA=4.915  ; PW50=0.008100 ; DM=14.59
NAME=j0454+5543; DEC=55.729 ; RA=4.915  ; PW50=0.008100 ; DM=14.59
NAME=j1744-1134; DEC=-11.576; RA=17.746 ; PW50=0.000137 ; DM=3.14
NAME=b1356-60; DEC=-60.644; RA=14.000 ; PW50=0.002500 ; DM=293.74
NAME=j1359-6038; DEC=-60.644; RA=14.000 ; PW50=0.002500 ; DM=293.74
NAME=b1706-44; DEC=-44.491; RA=17.152 ; PW50=0.005700 ; DM=75.68
NAME=j1709-4429; DEC=-44.491; RA=17.152 ; PW50=0.005700 ; DM=75.68
NAME=b2319+60; DEC=60.407 ; RA=23.356 ; PW50=0.131100 ; DM=94.59
NAME=j2321+6024; DEC=60.407 ; RA=23.356 ; PW50=0.131100 ; DM=94.59
NAME=b1642-03; DEC=-3.288 ; RA=16.762 ; PW50=0.003400 ; DM=35.76
NAME=j1645-0317; DEC=-3.288 ; RA=16.762 ; PW50=0.003400 ; DM=35.76
NAME=b0031-07; DEC=-7.356 ; RA=0.576  ; PW50=0.037700 ; DM=10.92
NAME=j0034-0721; DEC=-7.356 ; RA=0.576  ; PW50=0.037700 ; DM=10.92
NAME=b0940-55; DEC=-55.881; RA=9.712  ; PW50=0.009000 ; DM=180.20
NAME=j0942-5552; DEC=-55.881; RA=9.712  ; PW50=0.009000 ; DM=180.20
NAME=b1826-17; DEC=-17.864; RA=18.491 ; PW50=0.013500 ; DM=217.11
NAME=j1829-1751; DEC=-17.864; RA=18.491 ; PW50=0.013500 ; DM=217.11
NAME=b0540+23; DEC=23.491 ; RA=5.729  ; PW50=0.005300 ; DM=77.70
NAME=j0543+2329; DEC=23.491 ; RA=5.729  ; PW50=0.005300 ; DM=77.70
NAME=j1713+0747; DEC=7.796  ; RA=17.220 ; PW50=0.000110 ; DM=15.92
NAME=b1822-09; DEC=-9.593 ; RA=18.424 ; PW50=0.009800 ; DM=19.38
NAME=j1825-0935; DEC=-9.593 ; RA=18.424 ; PW50=0.009800 ; DM=19.38
NAME=b0809+74; DEC=74.491 ; RA=8.237  ; PW50=0.041400 ; DM=5.75
NAME=j0814+7429; DEC=74.491 ; RA=8.237  ; PW50=0.041400 ; DM=5.75
NAME=b0823+26; DEC=26.627 ; RA=8.441  ; PW50=0.005800 ; DM=19.48
NAME=j0826+2637; DEC=26.627 ; RA=8.441  ; PW50=0.005800 ; DM=19.48
NAME=b0919+06; DEC=6.644  ; RA=9.373  ; PW50=0.005900 ; DM=27.30
NAME=j0922+0638; DEC=6.644  ; RA=9.373  ; PW50=0.005900 ; DM=27.30
NAME=b0959-54; DEC=-55.119; RA=10.017 ; PW50=0.007200 ; DM=130.32
NAME=j1001-5507; DEC=-55.119; RA=10.017 ; PW50=0.007200 ; DM=130.32
NAME=b1944+17; DEC=18.085 ; RA=19.779 ; PW50=0.013500 ; DM=16.14
NAME=j1946+1805; DEC=18.085 ; RA=19.779 ; PW50=0.013500 ; DM=16.14
NAME=b1702-19; DEC=-19.102; RA=17.085 ; PW50=0.154200 ; DM=22.91
NAME=j1705-1906; DEC=-19.102; RA=17.085 ; PW50=0.154200 ; DM=22.91
NAME=b1818-04; DEC=-4.458 ; RA=18.339 ; PW50=0.010500 ; DM=84.44
NAME=j1820-0427; DEC=-4.458 ; RA=18.339 ; PW50=0.010500 ; DM=84.44
NAME=b2255+58; DEC=59.152 ; RA=22.966 ; PW50=0.014800 ; DM=151.08
NAME=j2257+5909; DEC=59.152 ; RA=22.966 ; PW50=0.014800 ; DM=151.08
NAME=b0525+21; DEC=22.000 ; RA=5.474  ; PW50=0.151900 ; DM=50.87
NAME=j0528+2200; DEC=22.000 ; RA=5.474  ; PW50=0.151900 ; DM=50.87
NAME=b1221-63; DEC=-64.119; RA=12.407 ; PW50=0.005500 ; DM=97.69
NAME=j1224-6407; DEC=-64.119; RA=12.407 ; PW50=0.005500 ; DM=97.69
